in0101	亦天凛	Yi 	Tianlin		in0101_1	A young man born with a special physique, who gathered all five elemental arts in one body. <br>Born in an unknown remote mining village. After his village was destroyed, he came to Jiangxi and stayed at the Wang Family in Zhongyan Village.	0	1	in0101		1.75		True		0
in0102	段红儿	Duan 	Hong'er		in0102	A young female disciple who grew up in the Xia Pavilion, she has excellent academic performance and moral. She treats people seriously and sincerely.<br>Under her mature and steady appearance, there is a passion and longing for being a hero.	1	1	in0102	in0102	1.65	702,707,713	True		0
in0103	锺若昕	Zhong 	Ruoxin		in0103	A girl from Sichuan, and the legitimate heir of Sun Moon Mountain Villa. <br>She is easy going and pure minded. Seeing her family in decline day by day, she wish to restore the glory of the Zhong Family.	1	0	in0127	in0103	1.5	704,712,706	True		0
in0104	萧芊菱	Delicate and beautiful 	Senior Sister		in0104	Noble daughter from a prominent family in Jiangnan, she is delicate and beautiful, and is well mannered and knowledgable. Yet she has a longing for martial arts in her arts.<br>Because of her mother's connections to the Divine Wind Temple, she knows a lot about alchemy and medicine.	1	1	in0104	in0104	1.65	714,708,711	True		0
in0105	石崑	Shi 	Kun		in0105	The young master of the Hall of Vicissitudes, he has been instructed by professionals of the guild since his childhood. Despite his youth, he has mastered a vicious palm style. <br>He has extremely high expectations of himself, and rarely gets close to others, instead treating them coldly.	0	1	in0105	in0105	1.75	703,707	True		0
in0106	南飞鍠	Nan 	Feihuang		in0106	A young man from a small village in the wild, with a big heart, loves to drink and values his friends. He is extremely talented in martial arts.<br>When he was young, he was instructed by a wandering swordsman. Since then he has been addicted to swordsmanship. At the age of twelve, he left his home town to wonder the Jianghu.	0	1	in0128	in0106	1.75	703,705,713	True		0
in0107	程墉	Cheng 	Yong		in0107	Hailing from the Cave Badger Camp under Sky Stealer Fort, he is skilled in the art of Gu, puzzles and automatons.<br>He doesn't speak much, but has a gift for clearly seeing the root of an issue. His hobby is raising scorpios.	0	1	in0129	in0107	1.75	701,708,710	True		0
in0109	净(凌雨寒)		Jing		in0210	A slender woman with a mask, speaks in a freezing cold tone, as if devoid of emotions.<br>Her swordsmanship is fierce, and she is often charged with instructing the disciples in the Pavilion in swordsmanship. She is the youngest master in the Pavilion.	1	1	in0210	in0109	1.65	701,714	True		0
in0109c	白净		Jing		in0211		1	1	in0211	in0109	1.65	701,714	True		0
in0110	上官煦	Shangguan 	Xu		in0110	Eldest daughter of Shangguan family in the capital. Born in the battlefield, grew up in the battlefield, well known in the martial art world. One of the outstanding member of the older generation of Xia Pavilion disciples. She is outgoing with a hint of pride.<br>Whatever demons or monster there maybe, she shall break it with her strength!	1	2	in0110	in0110	1.75	702,705,713	True		0
in0111	武辙	Wu 	Zhe		in0111	His father is a well-known imperial detective and master of fist techniques. He has practiced the Earth Dragon Sect's fist technique since childhood, determined to keep up with his father. He is simple and honest, but incredibly determined in protecting his juniors and upholding justice. His hobby is waking up early. 	0	1	in0111	in0111	1.75	704,712,714	True		0
in0115	亦天铃	Yi 	Tianling		in0115_1	A girl born with a special physique, who gathered all five elemental arts in one body.<br>Born in an unknown remote mining village. After her village was destroyed, she came to Jiangxi and stayed at the Wang Family in Zhongyan Village.	1	2	in0115		1.75		True		0
in0196	素体亦天铃	Yi 	Tianling		in0115	A girl born with a special physique, who gathered all five elemental arts in one body.<br>Born in an unknown remote mining village. After her village was destroyed, she came to Jiangxi and stayed at the Wang Family in Zhongyan Village.	1	2	in0117		1.75		True		0
in0197	素体亦天凛	Yi 	Tianliao		in0101	A young man born with a special physique, who gathered all five elemental arts in one body.<br>Born in an unknown remote mining village. After his village was destroyed, he came to Jiangxi and stayed at the Wang Family in Zhongyan Village.	0	1	in0116		1.75		True		0
