t0001	Chef Ding Carves the Cow	A high understanding of anatomy, +15% Damage	A high understanding of anatomy, +15% Damage	
t0002	Five Element Reaction	Unwavering belief of convictions, bonus to element reactions [+15% damage when countering element]	Skilled in the Five elmeents. [+15% DMG when countering Element]	
t0003	Surprise Attack	Not good at fighting fairly, you do better with surprise attacks. [DMG +15% when flanking or back attack]	Expert at taking advantage of opportunities [DMG +15% when flanking or back attack]	
t0004	Light as a Swallow	Your training has allowed you more agility. [During battle, +1 move]	Your training has allowed you to move faster. 【+1 Move】	
t0005	Lone Wolf	You prefer to act alone. [Attack power is increased by 10% for every teammate downed in battle]	You bring death around you. [Everyone except you, takes 15% extra damage]	
t0006	Blood for blood	When you get hurt, you will return the favor. [For every 1% HP loss, attack power increases by 0.4%]	You turn anger into Strength. [For every loss of 1% HP, the attack increases by 0.4%]	
t0007	Caregiver	Take care of women in every possible way, the damage received by female teammates in the battle is reduced. [Damage received by female teammates is reduced by an additional 15% during battle]	You never forget to extend a helping hand to women. [Female teammates receive an additional 15% reduction from Damage]	
t0008	Allure	Desperately help the male teammates, the damage received by the male teammates in the battle is reduced. [Damage received by male teammates is reduced by an additional 15% during battle]	There is always someone willing to fight for you. [Attack of male teammates increases by 15%]	
t0009	Rebirth of Shennong	You have researched herbs and medicines thorooughly. [Recovery effect increases by 15% when using Medicines]	You are an expert in medicine. [The effect is increased by 15% when using Medication]	
t0011	Talented	You are a fast learner. [10% increase in experience gain]	You are a fast learner. [10% experience gain]	
t0012	Seize the moment	You are good at resovling problems physically. [Critical Damage +15%]	You are good at attacking weaknesses. [Critical Damage +15%]	
t0013	Rejuvenation	You are good at healing [Healing skills heal 10% more]	You are good at healing [Healing effects +10%]	
t0014	Immobile as the Mountain	Even if it is impacted by external forces, it still remains unmoved. The posture tolerance of each part during battle is increased. [Increase the upper limit of posture value by 10%]	You Will be strong and hard to knock down. [Increase the upper limit of posture value by 10%]	
t0015	Five Elements Blessing	Believe that SelfStrength will not be swayed by fate and reduce the influence of the five elements. [The effect of the five elements is reduced by 15%]	You are born with the five elements of nature. [The debuff of the five elements is reduced by 15%]	
t0016	Iron wall	Specializes in the Block technique. During the battle, the Block activates an additional damage bonus reduction. [Block reduction and damage bonus 15%]	No one is better at defense than you. [Damage reduction and exemption bonus 15% for Block]	
t0017	Strong as the Ox	Good physique, HP increased extra. [Maximum HP limit increased by 10%]	You are naturally thick and thick. [HP limit increased by 10%]	
t0018	Qi a deep as the Ocean	The HP circulation in the body is smooth, and the maximum upper limit of internal force is increased. [The maximum upper limit of internal force is increased by 10%]	It is easier for you to practice internally. [The upper limit of internal force is increased by 10%]	
t0019	Handsome	Be good at understanding women's minds, and if the target is a female during social activities, get an extra bonus. [Improve 10% in the social goodwill of female friends]	Your demeanor is fascinating. [The increase rate of women’s favorability increases by 10%]	
t0021	Attractive	The whole body exudes male hormones, and it is easier to increase goodwill when socializing with men. [Improve 10% in the social goodwill of male friends]	Your charm is natural. [Boosting speed of male favorability increased by 10%]	
t0022	Eloquent	Never compromise on the transaction price easily and get a certain discount when making gold Coin (Coins) consumption. [10% discount when paying coins (Coins)]	Your eloquence in bargaining is amazing. [10% discount when spending]	
t0023	Meticulous	Working wholeheartedly to gain recognition, and earn extra Coin (Coins) income when working. [An additional 10% increase in coins (Coins) from part-time work]	Your rigorous work attitude is worthy of reward. [10% increase in coins (Coins) obtained from part-time work]	
t0024	Perfect Pitch	Be fascinated by Zither, get extra bonuses when Zither's art value increases. [Add 15% when Zither's skill is increased]	You have an extraordinary qualification in music. [Zither art promotion speed increased by 15%]	
t0025	Strategist	Specialize in Go spectrum tirelessly, get extra bonus when Go art value increases. [Add 15% when Go art value is increased]	You are naturally good at judging Go game trends. [Go art increase speed 15% faster]	
t0026	Veteran	I am extremely fond of Calligraphy's law and aesthetics. When Calligraphy's art value increases, I get an extra bonus. [Add 15% when Calligraphy art value is increased]	Excessive patience gives you an advantage in learning Calligraphy. [Calligraphy art promotion speed up 15%]	
t0027	Confident	Love painting drawing from life, get extra bonus when painting art value increases. [Add 15% when painting art value is increased]	You are good at grasping the image of things and presenting them on the Painting paper [Painting art speed up 15%]	
t0028	Drinking Enthusiast	Alcoholics are not drunk and do not return. When the wine art value is increased, they will get an extra bonus. [Add 15% when the wine craft value is increased]	You can drink well and know how to taste. [Liquor crafts improvement speed increased by 15%]	
t0029	Flower Lover	Smell the fragrance of flowers overjoyed, get extra bonuses when the flower art value is increased. [Add 15% when the flower art value is increased. 】	You are a nympho. [Floral improvement speed increased by 15%]	
