1001	This is an evaluation for testing			[0,(A Money,0)][1,(B Money,1)][2,(C Money,0)]	[0,(Money,100)][1,(Money,200)][2,(Money,300)]
ev1103101	Spring Exam		Transcript after passing Spring Exam.	[0,(Arrive at Frigid Fountain,1)][1,(Collect 3 Frigid Amulets,1)][2,(Collect 5 or more Frigid Amulets,1)]	[0,(it501003,3)][1,(Money,500)][2,(Money,1000)]
ev1106201	Summer Exam		Transcript after passing Summer Exam.	[0,(Retrieve Unmelting Ice.,1)][1,(Survive in the Ice Cellar,1)][2,(Defeat Gong Zihen,1)]	[0,(Money,750)][1,(it201021,1)][2,(it501506,1)]
ev1112401	Winter Exam		Evaluation after passing Winter Exam.	[0,(Carry out patrol or camp defense,1)][1,(Luo Guangze was unharmed during the camp defense battle,1)][2,(When fighting the automantons， no controllable party member is defeated,1)]	[0,(Money,1000)][1,(it201033,1)][2,(it418001,1)]
ev1112501	Xia Pavillion Disciples Year-end Summary			[0,(The total of basic stats reaches 450 points.,1)][1,(Reach level 10 in 12 internal arts or skills.,1)][2,(Total assignment completed > 12.,1)]	[0,(Money,3000)][1,(it501523,1)][2,(it601518,1)]
ev1112503	Gu's Four Art Year-end Summary 	第一年期末四艺检核		[0,(The total of the four arts reaches 350 points.,1)][1,(Win in both four arts coventions,1)][2,(An's'we'r all the knowledge test questions correctly in both four arts conventions.,1) ]	[0,(Money,3000)][1,(it501523,1)][2,(it601718,1)]
ev5101501	Training Automaton Function Test		Assist the Wooden Automaton to test the performance of the Gimmick exerciser.	[0,(Defeat a Automanton.,1)][1,(Defeat three Automantons.,1)][2,(Defeat five Automantons.,1)]	[0,(it501504,1)][1,(it501003,1)][2,(Money,200)]
ev5101502	Gather Herbs from the Mountain		Transcript obtained after collecting medicine for Dao Heng.	[0,(Collected White Peony.,1)][1,(Collected Poria.,1)][2,(Collected Thorn Grass.,1)]	[0,(it501505,1)][1,(it501003,1)][2,(Money,200)]
ev5103101	Xia Hidden Challenge		The transcript obtained after participating in the Xia Yin arena.	[0,(Beat another team.,1)][1,(Beat two teams.,1)][2,(Beat three teams.,1)]	[0,(it501503,1)][1,(it201016,1)][2,(Money,500)]
ev5104201	Special training. Kicks			[0,(Hua Yue survived.,1)][1,(Wu Qianfan survived.,1)][2,(Reduced Huo Tan’s HP to 50%.,1)]	[0,(it501502,1)][1,(it501011,1)][2,(it102511,1)]
ev5104202	Special training. Short Range			[0,(Defeat a Blade Automanton.,1)][1,(Defeat two Blade Automantons.,1)][2,(Reduce White Fox's HP to 50%.,1)]	[0,(it501504,1)][1,(it501012,1)][2,(it106511,1)]
ev5104203	Special training. Palm			[0,(Jiang Hongbo survived.,1)][1,(Yun Xiaohou survived.,1)][2,(Beat Wu Zhe.,1)]	[0,(it501505,1)][1,(it501012,1)][2,(it101511,1)]
ev5104204	Special training. Sword method			[0,(Beat Gongsun Ming.,1)][1,(Beat Lou Yanyu.,1)][2,(Reduce Jing's HP to 50%.,1)]	[0,(it501505,1)][1,(it501012,1)][2,(it103511,1)]
ev5104205	Special training. Saber method			[0,(Defeat all Automantons.,1)][1,(Keep Ning Chuchu’s HP above 80%.,1)][2,(Reduce Liu Xinping’s HP to below 50%.,1)]	[0,(it501502,1)][1,(it501011,1)][2,(it104511,1)]
ev5104206	Special training. marksmanship			[0,(Defeat Nan Feihuang.,1)][1,(Weaken Huo Tan's HP to 60%.,1)][2,(Send miscellaneous grain wine to the gate of the martial arts field.,1)]	[0,(it501503,1)][1,(it501011,1)][2,(it105511,1)]
ev5104207	Special training. Medics			[0,(Successfully healed the wounded.,2)][1,(Have a doctor's benevolence in your heart.,1)][2,(,0)]	[0,(it501003,1)][1,(it501013,1)][2,(it301024,1)]
ev5104208	Mountain beasts raging			[0,(Repel the Wolf King.,3)][1,(,0)][2,(,0)]	[0,(Money,500)][1,(it501011,2)][2,(it201021,1)]
ev5106503	Raging Mountain Beasts 2			[0,(Repel the bear king.,1)][1,(Repel all giant bears.,1)][2,(Cai Gouzi successfully escaped.,1)]	[0,(Money,750)][1,(it501011,1)][2,(it201022,1)]
ev5106505	Actual Gimmick Human Function Test		A transcript obtained after assisting Wooden Automaton to test the performance of actual combat Gimmick.	[0,(Defeat a Automanton.,1)][1,(Defeat three Automantons.,1)][2,(Defeat five Automantons.,1)]	[0,(Money,400)][1,(it501013,1)][2,(it501504,1)]
ev5107302	Delivery			[0,(Successfully keep the goods from being robbed.,1)][1,(Beat four Marketplace Rogues.,1)][2,(Beat all Marketplace Rogues.,1)]	[0,(Money,500)][1,(it714007,1)][2,(it501505,1)]
ev1203201	Spring Exam		Evaluation after two years of Spring Exam.	[0,(Find Tang Sanchang and Di ting Group.,1)][1,(Successfully prevent the assassin from assassinating Tang Sanchang.,1)][2,(In the battle against Smoking Tapir， arrived at He Changrui's side.,1)]	[0,(it715010,1)][1,(it415005,1)][2,(it501506,2)]
ev1205501	Summer Exam		Evaluation after two years of Summer Exam.	[0,(Find the secret way to enter Cave Badger Camp, 1)][1,(Win and survive the battle with Shangguan Nan and Zhang Mengyang, 1)][2,(Win the battle against Mu Ying with all party members alive, 1)]	[0,(Money,2000)][1,(it501022,3)][2,(it501506,2)]
ev1210401	Ride to Mount Heng		Rushing to Mount Heng, rescuing Duan Hong'Er and the same door.	[0,(Rescue Duan Hong'Er and other sectmates, 1)][1,(Find all the missing disciples who disappeared on Mount Heng, 1)][2,(In the battle against Flying Squid，no sectmates are defeated., 1 )]	[0,(it501506,2)][1,(Money,5000)][2,(it301051,1)]
ev1212401	Winter Exam		Rush to support the evaluation of Ice CleanSword faction.	[0,(Save the Ice Clear Sword Sect, 1)][1,(Save all the Ice Clear Sword Sect disciples in the mountain road battle, 1)][2,(When fighting against Vajra，Zhu Qian and the Ice Clear Sword Sect disciples survived, 1 )]	[0,(it501032,2)][1,(Money,5000)][2,(it501506,4)]
ev1212501	Xia Pavillion disciples year-end general assessment			[0,(The total of your basic stats reaches 1100 points.,1)][1,(Studied 24 skills or internal arts to level 10.,1)][2,(Completed 24 missions in total. ,1)]	[0,(Money,6000)][1,(it501523,2)][2,(it601518b,1)]
