TextId,Translated,Original
ending0001_f title,Walking away from the world,与世无争
ending0001_f line Text01,"Looking at the barely visible Pavillion in the mountains,",望向远方山岚中若隐若现的山中楼阁，
ending0001_f line Text02,"you fiddle with the emblem in your hand, unsure of how you feel.",手里令牌翻来覆去，忐忑心下千回百转
ending0001_f line Text03,Is it hubris? Is it cowardice? You begin to hesitate.,也不知是心高气傲，或是临阵怯场，你萌生了退意，
ending0001_f line Text04,You toss the emblem that anyone else would desire into the brush on the side of the road,你将那人人求之而不可得的侠隐令丢入了路边丛中，
ending0001_f line Text05,and decide to walk away.,毅然决然，转身离去。
ending0001_f line Text05_1,,
ending0001_f line Text06,"""On this path, you've seen so much violence. Will it really make the world a better place?""",「这一路上，见了这许多刀光剑影，打打杀杀，真能让这个世界变得美好？」
ending0001_f line Text06_1,,
ending0001_f line Text07,"You've decided that instead of wielding a weapon, you'd rather wield a tool.",你想通了，抡刀舞枪，不如扛犁拾锄。
ending0001_f line Text08,"Waking up and working, providing for food and shelter, that is the real path to happiness.",朝耕暮耘，丰衣足食，才是通往幸福的康庄大道。
ending0001_f line Text09,"As for the years after, the conflict in Wulin",至于那往后数年间，撼动武林的骚乱，
ending0001_f line Text10,"is nothing but a fire across the cliff, smoke before your eyes, to your calm farming life.",在你躬耕陇亩，平静无波的一生中，也就不过隔岸之火，过眼云烟了。
ending0001_m title,Walking away from the world,与世无争
ending0001_m line Text01,"Looking at the barely visible Pavillion in the mountains,",望向远方山岚中若隐若现的山中楼阁，
ending0001_m line Text02,"you fiddle with the emblem in your hand, unsure of how you feel.",手里令牌翻来覆去，忐忑心下千回百转
ending0001_m line Text03,Is it hubris? Is it cowardice? You begin to hesitate.,也不知是心高气傲，或是临阵怯场，你萌生了退意，
ending0001_m line Text04,"You toss the emblem that anyone else would desire into the brush on the side of the road, ",你将那人人求之而不可得的侠隐令丢入了路边丛中，
ending0001_m line Text05,and decide to walk away.,毅然决然，转身离去。
ending0001_m line Text05_1,,
ending0001_m line Text06,"""On this path you've seen so much violence. Will it really make the world a better place?""",「这一路上，见了这许多刀光剑影，打打杀杀，真能让这个世界变得美好？」
ending0001_m line Text06_1,,
ending0001_m line Text07,"You've decided that instead of wielding a weapon, you'd rather wield a tool.",你想通了，抡刀舞枪，不如扛犁拾锄。
ending0001_m line Text08,"Waking up and working, providing for food and shelter, that is the real path to happiness.",朝耕暮耘，丰衣足食，才是通往幸福的康庄大道。
ending0001_m line Text09,"As for the years after, the conflict in Wulin",至于那往后数年间，撼动武林的骚乱，
ending0001_m line Text10,"is nothing but a fire across the cliff, smoke before your eyes, to your calm farming life.",在你躬耕陇亩，平静无波的一生中，也就不过隔岸之火，过眼云烟了。
ending0002_f title,Better off leaving,不如归去
ending0002_f line Text01,"Against the fierce attacks, you were unable to get up again and pass out.",面对狂人的突来攻势，你再也无力起身，昏厥而去。
ending0002_f line Text02,"At that point, you realize, before real power, how weak you are.",那时，你明白了，在真正的强大面前，自己有多么弱小。
ending0002_f line Text03,"Days later, you awaken in your room.",数日后，你在弟子房醒来，
ending0002_f line Text04,"Is this feeling frustration or confusion? It doesn't matter, you hesitate.",不知是灰心，抑或是迷惘，你萌生了退意。
ending0002_f line Text05,"You return your emblem, pack your bags and leave.",你交还了侠隐令，重拾行囊，黯然出阁，
ending0002_f line Text06,"Looking ahead, you've decided, it's better to find a quiet place.",眼望四方，心下早已有了计较，要寻的是一处僻静乡野。
ending0002_f line Text06_1,,
ending0002_f line Text07,"""Walking the path of Xia and doing good, is more suited for others.""",「『行侠仗义』这件事，还是让更合适的人去做吧。」
ending0002_f line Text07_1,,
ending0002_f line Text08,"You've decided that instead of wielding a weapon, you'd rather wield a tool.",你想通了，抡刀舞枪，不如扛犁拾锄。
ending0002_f line Text09,"Waking up and working, providing for food and shelter, that is the real path to happiness.",朝耕暮耘，丰衣足食，才是通往幸福的康庄大道。
ending0002_f line Text10,"As for the years after, the conflict in Wulin",至于那往后数年间，撼动武林的骚乱，
ending0002_f line Text11,"is nothing but a fire across the cliff, smoke before your eyes, to your calm farming life.",在你躬耕陇亩，平静无波的一生中，也就不过隔岸之火，过眼云烟了。
ending0002_m title,Better off leaving,不如归去
